Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company explicitly recognise climate change as a relevant risk and/or opportunity to the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,"Q14L4|Has the company incorporated environmental, social and governance issues into executive remuneration?",Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company have an internal price of carbon?
Vedanta (Diversified mining),India,IND,Diversified Mining,Yes,large,INE205A01025,6136040,01/12/2018,05/04/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,No,No
Vistra Energy,United States of America,USA,Electricity Utilities,Yes,medium,US92840M1027,BZ8VJQ8,01/12/2018,09/04/2018,1,new,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
Voestalpine,Austria,AUT,Steel,No,medium,AT0000937503,4943402,01/09/2018,05/05/2018,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not applicable,No,Yes,No,No,No
Volkswagen,Germany,DEU,Autos,Yes,large,"DE0007664005, DE0007664039",5497102,01/11/2018,08/01/2018,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Volvo,Sweden,SWE,Other Industrials,Yes,large,SE0000115446,B1QH830,01/12/2018,09/01/2018,1,new,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No
WEC Energy Group,United States of America,USA,Electricity Utilities,Yes,large,US92939U1060,BYY8XK8,01/07/2018,08/05/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
Walmart,United States of America,USA,Services,Yes,large,US9311421039,2936921,01/12/2018,16/12/2017,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
Wesfarmers,Australia,AUS,Services,No,large,AU000000WES1,6948836,01/12/2018,28/04/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,Yes
Weyerhaeuser,United States of America,USA,Services,Yes,medium,US9621661043,2958936,01/12/2018,25/04/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Not applicable,Yes,Yes,No,No,No
Whitehaven Coal,Australia,AUS,Coal Mining,No,medium,AU000000WHC8,B1XQXC4,01/07/2018,04/05/2018,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Wizz Air,United Kingdom,GBR,Airlines,No,small,JE00BN574F90,BN574F9,01/02/2019,05/05/2018,0,new,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
Woodside Petroleum,Australia,AUS,Oil & Gas,Yes,large,AU000000WPL2,6979728,01/07/2018,14/09/2017,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
Woolworths,Australia,AUS,Services,Yes,large,AU000000WOW2,6981239,01/12/2018,27/04/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No
XCEL Energy,United States of America,USA,Electricity Utilities,Yes,large,US98389B1008,2614807,01/07/2018,09/10/2017,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes
Yanzhou Coal Mining,China,CHN,Coal Mining,No,large,CNE1000004Q8,6109893,01/07/2018,04/05/2018,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
