Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company disclose its membership and involvement in trade associations engaged in climate issues?,Q12L3|Does the company have a process to manage climate-related risks?,Q13L3|Does the company disclose Scope 3 use of product emissions?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/10/2020,31/03/2020,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/09/2019,12/03/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Domtar,United States of America,USA,Paper,No,small,US2575592033,B1T84Z4,01/02/2021,12/03/2020,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,No,No,Yes,No
Domtar,United States of America,USA,Paper,No,small,US2575592033,B1T84Z4,01/02/2020,20/04/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not applicable,Yes,No,No,No,Yes,No
Dow,United States of America,USA,Chemicals,Yes,large,US2605571031,BHXCF84,01/10/2020,11/03/2020,3,up,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Not applicable,No,No,No,No,No,No
Dow,United States of America,USA,Chemicals,Yes,large,US2605571031,BHXCF84,01/09/2019,11/02/2019,1,new,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Not applicable,Yes,No,No,No,No,No
DuPont de Nemours,United States of America,USA,Chemicals,No,large,US26614N1028,BK0VN47,01/02/2021,04/03/2020,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Not applicable,Yes,No,No,No,No,No
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/10/2020,06/08/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,Yes,No
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/09/2019,07/06/2019,2,unchanged,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,Yes,No
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,"4942904, 4943190",01/10/2020,31/03/2020,4,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,"4942904, 4943190",01/09/2019,13/03/2019,4STAR,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes
EDF,France,FRA,Electricity Utilities,Yes,large,FR0010242511,B0NJJ17,01/10/2020,31/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
EDF,France,FRA,Electricity Utilities,Yes,large,FR0010242511,B0NJJ17,01/09/2019,19/03/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No,No
EDP,Portugal,PRT,Electricity Utilities,No,large,PTEDP0AM0009,4103596,01/10/2020,23/03/2020,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
EOG Resources,United States of America,USA,Oil & Gas,No,large,US26875P1012,2318024,01/10/2020,24/07/2019,2,unchanged,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
EOG Resources,United States of America,USA,Oil & Gas,No,large,US26875P1012,2318024,01/09/2019,26/02/2019,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No
Eagle Materials,United States of America,USA,Cement,No,small,US26969P1084,2191399,01/02/2021,07/01/2020,1,down,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Eagle Materials,United States of America,USA,Cement,No,small,US26969P1084,2191399,01/02/2020,04/03/2019,2,up,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Eastman Chemical,United States of America,USA,Chemicals,No,medium,US2774321002,2298386,01/02/2021,31/03/2020,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not applicable,Yes,Yes,No,No,No,Yes
Easyjet,United Kingdom,GBR,Airlines,No,medium,GB00B7KR2P84,B7KR2P8,01/12/2020,31/01/2020,2,unchanged,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Not applicable,Yes,No,No,No,No,No
Easyjet,United Kingdom,GBR,Airlines,No,medium,GB00B7KR2P84,B7KR2P8,01/12/2019,28/03/2019,2,unchanged,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Not applicable,Yes,No,No,No,No,No
Ecolab,United States of America,USA,Chemicals,No,large,US2788651006,2304227,01/02/2021,08/01/2020,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,No,No,No,No
Ecolab,United States of America,USA,Chemicals,No,large,US2788651006,2304227,01/02/2020,19/04/2019,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No,No
Ecopetrol,Colombia,COL,Oil & Gas,Yes,large,COC04PA00016,B2473N4,01/10/2020,13/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Ecopetrol,Colombia,COL,Oil & Gas,Yes,large,COC04PA00016,B2473N4,01/09/2019,30/03/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No
Edison International,United States of America,USA,Electricity Utilities,No,medium,US2810201077,2829515,01/10/2020,23/07/2019,2,down,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Not applicable,No,No,Yes,No,No,No
Edison International,United States of America,USA,Electricity Utilities,No,medium,US2810201077,2829515,01/09/2019,28/02/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Not applicable,Yes,No,Yes,No,No,No
Electric Power Development,Japan,JPN,Electricity Utilities,No,large,JP3551200003,B02Q328,01/10/2020,26/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,No,No,No
Electric Power Development,Japan,JPN,Electricity Utilities,No,large,JP3551200003,B02Q328,01/09/2019,28/06/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,No,Yes,No,No,Yes
Emera,Canada,CAN,Electricity Utilities,No,small,CA2908761018,2650050,01/10/2020,31/03/2020,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Enbridge,Canada,CAN,Oil & Gas Distribution,Yes,large,CA29250N1050,"2466149, 2478906",01/10/2020,31/03/2020,2,down,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No
Enbridge,Canada,CAN,Oil & Gas Distribution,Yes,large,CA29250N1050,"2466149, 2478906",01/09/2019,15/02/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
Ence Energia y Celulosa,Spain,ESP,Paper,No,small,ES0130625512,B1W7BK2,01/02/2021,01/11/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
Ence Energia y Celulosa,Spain,ESP,Paper,No,small,ES0130625512,B1W7BK2,01/02/2020,10/02/2019,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Endesa,Spain,ESP,Electricity Utilities,No,large,ES0130670112,5271782,01/10/2020,31/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Endesa,Spain,ESP,Electricity Utilities,No,large,ES0130670112,5271782,01/09/2019,27/02/2019,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Enel,Italy,ITA,Electricity Utilities,Yes,large,IT0003128367,7144569,01/10/2020,31/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Enel,Italy,ITA,Electricity Utilities,Yes,large,IT0003128367,7144569,01/09/2019,02/04/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Eneos (Coal Mining),Japan,JPN,Coal Mining,Yes,large,JP3386450005,B627LW9,01/10/2020,27/12/2019,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No
Eneos (Oil & Gas),Japan,JPN,Oil & Gas,Yes,large,JP3386450005,B627LW9,01/10/2020,27/12/2019,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No
Eneos (Oil & Gas),Japan,JPN,Oil & Gas,Yes,large,JP3386450005,B627LW9,01/09/2019,27/06/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Engie,France,FRA,Electricity Utilities,Yes,large,FR0010208488,B0C2CQ3,01/10/2020,07/02/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Engie,France,FRA,Electricity Utilities,Yes,large,FR0010208488,B0C2CQ3,01/09/2019,22/03/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Eni,Italy,ITA,Oil & Gas,Yes,large,IT0003132476,7145056,01/10/2020,13/08/2019,4STAR,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Eni,Italy,ITA,Oil & Gas,Yes,large,IT0003132476,7145056,01/09/2019,05/04/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Entergy,United States of America,USA,Electricity Utilities,No,medium,US29364G1031,2317087,01/10/2020,17/08/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,No,No
Entergy,United States of America,USA,Electricity Utilities,No,medium,US29364G1031,2317087,01/09/2019,24/08/2018,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No,No
Equinor,Norway,NOR,Oil & Gas,Yes,large,NO0010096985,7133608,01/10/2020,31/03/2020,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Equinor,Norway,NOR,Oil & Gas,Yes,large,NO0010096985,7133608,01/09/2019,15/03/2019,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Erdemir,Turkey,TUR,Steel,No,medium,TRAEREGL91G3,B03MS97,01/02/2021,19/09/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Erdemir,Turkey,TUR,Steel,No,medium,TRAEREGL91G3,B03MS97,01/02/2020,13/02/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Evergreen Marine,Taiwan,TWN,Shipping,No,medium,TW0002603008,6324500,01/12/2020,07/02/2020,3,up,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Not applicable,Yes,No,No,No,No,No
Evergreen Marine,Taiwan,TWN,Shipping,No,medium,TW0002603008,6324500,01/12/2019,28/03/2019,1,new,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Not applicable,Yes,No,No,No,No,No
Evergy,United States of America,USA,Electricity Utilities,No,medium,US30034W1062,BFMXGR0,01/10/2020,31/03/2020,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Evergy,United States of America,USA,Electricity Utilities,No,medium,US30034W1062,BFMXGR0,01/09/2019,22/02/2019,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Eversource Energy,United States of America,USA,Electricity Utilities,No,medium,US30040W1080,BVVN4Q8,01/10/2020,30/08/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No,No
Eversource Energy,United States of America,USA,Electricity Utilities,No,medium,US30040W1080,BVVN4Q8,01/09/2019,31/10/2018,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,No,No,Yes,No,No,No
Evraz,United Kingdom,GBR,Steel,No,medium,GB00B71N6K86,B71N6K8,01/02/2021,30/03/2020,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not applicable,No,No,No,No,No,No
Evraz,United Kingdom,GBR,Steel,No,medium,GB00B71N6K86,B71N6K8,01/02/2020,04/04/2019,1,unchanged,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Exelon,United States of America,USA,Electricity Utilities,Yes,large,US30161N1019,2670519,01/10/2020,20/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Exelon,United States of America,USA,Electricity Utilities,Yes,large,US30161N1019,2670519,01/09/2019,08/02/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Exxaro Resources,South Africa,ZAF,Coal Mining,No,medium,ZAE000084992,6418801,01/10/2020,26/08/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
Exxaro Resources,South Africa,ZAF,Coal Mining,No,medium,ZAE000084992,6418801,01/09/2019,07/05/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No
Exxon Mobil,United States of America,USA,Oil & Gas,Yes,large,US30231G1022,2326618,01/10/2020,12/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
Exxon Mobil,United States of America,USA,Oil & Gas,Yes,large,US30231G1022,2326618,01/09/2019,27/02/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
FMC,United States of America,USA,Chemicals,No,medium,"US3024913036, US53814LXX18","2328603, BJ31F29",01/02/2021,09/09/2019,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Ferrari,Italy,ITA,Autos,No,large,NL0011585146,"BD6G507, BZ1GMK5",01/12/2020,18/09/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No
Ferrari,Italy,ITA,Autos,No,large,NL0011585146,"BD6G507, BZ1GMK5",01/12/2019,25/10/2018,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No
Fiat Chrysler,Italy,ITA,Autos,Yes,large,"NL00150001Q9, IT00BKV3M563","BMD8KX7, BM9RCN2, BKV3M34",01/10/2020,26/09/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Fiat Chrysler,Italy,ITA,Autos,Yes,large,"NL00150001Q9, IT00BKV3M563","BMD8KX7, BM9RCN2, BKV3M34",01/09/2019,07/06/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Firstenergy,United States of America,USA,Electricity Utilities,Yes,medium,US3379321074,2100920,01/10/2020,20/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not applicable,Yes,No,Yes,No,Yes,No
Firstenergy,United States of America,USA,Electricity Utilities,Yes,medium,US3379321074,2100920,01/09/2019,19/02/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,No,No,Yes,No
Fletcher Building,New Zealand,NZL,Cement,No,medium,NZFBUE0001S0,"6341606, 6341617",01/02/2021,24/02/2020,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not applicable,Yes,Yes,No,No,No,No
Fletcher Building,New Zealand,NZL,Cement,No,medium,NZFBUE0001S0,"6341606, 6341617",01/02/2020,24/04/2019,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Not applicable,No,No,No,No,No,No
Ford,United States of America,USA,Autos,Yes,large,US3453708600,2615468,01/10/2020,27/11/2019,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Ford,United States of America,USA,Autos,Yes,large,US3453708600,2615468,01/09/2019,07/06/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Formosa Chemicals & Fibre,Taiwan,TWN,Chemicals,No,large,TW0001326007,6348715,01/02/2021,13/02/2020,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not applicable,No,No,No,No,Yes,No
Formosa Chemicals & Fibre,Taiwan,TWN,Chemicals,No,large,TW0001326007,6348715,01/02/2020,11/04/2019,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not applicable,No,No,No,No,No,No
Formosa Petrochemical,Taiwan,TWN,Oil & Gas,Yes,large,TW0006505001,6718716,01/10/2020,24/12/2019,1,down,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
Formosa Petrochemical,Taiwan,TWN,Oil & Gas,Yes,large,TW0006505001,6718716,01/09/2019,04/06/2019,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
Formosa Plastics,Taiwan,TWN,Chemicals,No,large,TW0001301000,6348544,01/02/2021,14/01/2020,3,up,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,No,No,No,No,No
Formosa Plastics,Taiwan,TWN,Chemicals,No,large,TW0001301000,6348544,01/02/2020,28/04/2019,2,new,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Not applicable,No,No,No,No,No,No
Fortescue,Australia,AUS,Diversified Mining,No,large,AU000000FMG4,6086253,01/02/2021,31/03/2020,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Not applicable,No,No,No,No,No,No
Fortis,Canada,CAN,Electricity Utilities,No,medium,CA3495531079,2347200,01/10/2020,31/10/2019,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Not applicable,No,No,Yes,No,No,No
Fortis,Canada,CAN,Electricity Utilities,No,medium,CA3495531079,2347200,01/09/2019,06/09/2018,2,unchanged,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Not applicable,Yes,No,Yes,No,No,No
Fortum,Finland,FIN,Electricity Utilities,Yes,large,FI0009007132,5579550,01/10/2020,16/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No,No
Fortum,Finland,FIN,Electricity Utilities,Yes,large,FI0009007132,5579550,01/09/2019,04/02/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Freeport-McMoRan,United States of America,USA,Diversified Mining,No,medium,US35671D8570,2352118,01/02/2021,28/10/2019,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
Galp Energia,Portugal,PRT,Oil & Gas,No,large,PTGAL0AM0009,B1FW751,01/10/2020,31/03/2020,4STAR,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gazprom,Russia,RUS,Oil & Gas,Yes,large,"RU0007661625, US3682872078","B59L4L7, 5140989",01/10/2020,31/03/2020,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Gazprom,Russia,RUS,Oil & Gas,Yes,large,"RU0007661625, US3682872078","B59L4L7, 5140989",01/09/2019,29/03/2019,2,unchanged,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Geely,China,CHN,Autos,No,large,KYG3777B1032,6531827,01/12/2020,12/09/2019,1,unchanged,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Geely,China,CHN,Autos,No,large,KYG3777B1032,6531827,01/12/2019,28/10/2018,1,unchanged,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
General Electric,United States of America,USA,Other Industrials,Yes,large,"US3696043013, US3696041033, US369604XX60","BL59CR9, 3311613, BJLMPK2",01/10/2020,28/03/2020,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not applicable,Yes,No,No,No,No,No
General Electric,United States of America,USA,Other Industrials,Yes,large,"US3696043013, US3696041033, US369604XX60","BL59CR9, 3311613, BJLMPK2",01/09/2019,26/02/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,No,No,No
General Motors,United States of America,USA,Autos,Yes,large,US37045V1008,B665KZ5,01/10/2020,13/03/2020,3,down,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
General Motors,United States of America,USA,Autos,Yes,large,US37045V1008,B665KZ5,01/09/2019,06/02/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
Gerdau,Brazil,BRA,Steel,No,large,"BRGGBRACNOR1, BRGGBRACNPR8, US3737371050","2645443, 2645517, 2297606",01/02/2021,18/09/2019,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Gerdau,Brazil,BRA,Steel,No,large,"BRGGBRACNOR1, BRGGBRACNPR8, US3737371050","2645443, 2645517, 2297606",01/02/2020,07/03/2019,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Givaudan,Switzerland,CHE,Chemicals,No,large,CH0010645932,5980613,01/02/2021,09/08/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No,No
Givaudan,Switzerland,CHE,Chemicals,No,large,CH0010645932,5980613,01/02/2020,23/10/2018,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,No,No,No,No,No
Glencore (Aluminium),United Kingdom,GBR,Aluminium,Yes,large,JE00B4T3BW64,"B4T3BW6, BG6MV64",01/10/2020,25/10/2019,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
Glencore (Aluminium),United Kingdom,GBR,Aluminium,Yes,large,JE00B4T3BW64,"B4T3BW6, BG6MV64",01/09/2019,07/06/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,Yes,No
Glencore (Coal Mining),United Kingdom,GBR,Coal Mining,Yes,large,JE00B4T3BW64,"B4T3BW6, BG6MV64",01/10/2020,25/10/2019,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
